DATE FORMAT	ORDER_NUMBER	SKU	PCS
02/01/2017	835784	363492	1.0
02/01/2017	835782	245655	1.0
02/01/2017	835782	366773	1.0
02/01/2017	835783	139852	3.0
02/01/2017	835783	326180	1.0
02/01/2017	835781	152426	1.0
02/01/2017	835781	363594	1.0
02/01/2017	835775	348303	1.0
02/01/2017	835775	348305	1.0
02/01/2017	835773	244336	1.0
02/01/2017	835773	344627	6.0
02/01/2017	835774	216132	1.0
02/01/2017	835774	359111	1.0
02/01/2017	835767	300551	1.0
02/01/2017	835767	300555	1.0
02/01/2017	835772	340189	1.0
02/01/2017	835772	348590	1.0
02/01/2017	835763	310751	1.0
02/01/2017	835763	373408	1.0
02/01/2017	835764	310751	1.0
02/01/2017	835764	373408	1.0
02/01/2017	835765	245655	1.0
02/01/2017	835765	366773	1.0
02/01/2017	835759	294473	1.0
02/01/2017	835759	294958	3.0
02/01/2017	835761	245655	1.0
02/01/2017	835761	366773	1.0
02/01/2017	835757	322440	1.0
02/01/2017	835757	362062	1.0
02/01/2017	835758	364489	1.0
02/01/2017	835758	369594	1.0
02/01/2017	835756	278345	1.0
02/01/2017	835756	309186	1.0
02/01/2017	835751	367231	1.0
02/01/2017	835751	373272	1.0
02/01/2017	835752	333274	1.0
02/01/2017	835752	338680	1.0
02/01/2017	835747	335351	1.0
02/01/2017	835747	365459	1.0
02/01/2017	835748	366697	1.0
02/01/2017	835748	369428	1.0
02/01/2017	835742	245655	6.0
02/01/2017	835742	366773	6.0
02/01/2017	835745	285020	1.0
02/01/2017	835745	373272	1.0
02/01/2017	835740	215601	1.0
02/01/2017	835740	238490	1.0
02/01/2017	835741	335351	1.0
02/01/2017	835741	338730	1.0
02/01/2017	836085	348240	1.0
02/01/2017	836085	349726	1.0
02/01/2017	836086	342059	1.0
02/01/2017	836086	349520	1.0
02/01/2017	836086	359968	1.0
02/01/2017	836083	276865	1.0
02/01/2017	836081	264198	1.0
02/01/2017	836082	264198	1.0
02/01/2017	836079	280157	1.0
02/01/2017	836074	294281	1.0
02/01/2017	836071	255371	1.0
02/01/2017	836073	273997	1.0
02/01/2017	836070	263738	1.0
02/01/2017	836052	335347	1.0
02/01/2017	836052	335349	1.0
02/01/2017	836052	339223	1.0
02/01/2017	836052	363340	1.0
02/01/2017	836041	353864	1.0
02/01/2017	836041	353867	1.0
02/01/2017	836041	363340	1.0
02/01/2017	836036	273996	1.0
02/01/2017	836036	288127	1.0
02/01/2017	836036	319336	1.0
02/01/2017	836031	202889	1.0
02/01/2017	836031	292713	1.0
02/01/2017	836031	363347	1.0
02/01/2017	836029	196827	1.0
02/01/2017	836029	264150	1.0
02/01/2017	836029	280787	1.0
02/01/2017	836028	215515	1.0
02/01/2017	836028	230954	1.0
02/01/2017	836028	293550	1.0
02/01/2017	836023	342059	1.0
02/01/2017	836023	349520	1.0
02/01/2017	836023	359968	1.0
02/01/2017	836021	219496	1.0
02/01/2017	836021	335349	1.0
02/01/2017	836022	292224	1.0
02/01/2017	836022	292231	1.0
02/01/2017	836022	292234	1.0
02/01/2017	836017	330665	1.0
02/01/2017	836017	335347	1.0
02/01/2017	836011	67719	1.0
02/01/2017	836011	294281	1.0
02/01/2017	836015	259767	1.0
02/01/2017	836015	295639	1.0
02/01/2017	836006	242341	1.0
02/01/2017	836006	242349	1.0
02/01/2017	835988	366783	1.0
02/01/2017	835994	325565	1.0
02/01/2017	835986	263928	1.0
02/01/2017	835982	255371	1.0
02/01/2017	835983	206888	1.0
02/01/2017	835981	263732	1.0
02/01/2017	835979	263738	1.0
02/01/2017	835977	369796	1.0
02/01/2017	835975	263928	1.0
02/01/2017	835973	299903	1.0
02/01/2017	835970	348235	1.0
02/01/2017	835969	294281	1.0
02/01/2017	835961	335347	1.0
02/01/2017	835962	366783	1.0
02/01/2017	835958	263928	1.0
02/01/2017	835953	292713	1.0
02/01/2017	835954	206888	1.0
02/01/2017	835948	366783	1.0
02/01/2017	835936	344618	1.0
02/01/2017	835936	344620	1.0
02/01/2017	835936	344621	1.0
02/01/2017	835936	344623	1.0
02/01/2017	835936	344624	1.0
02/01/2017	835936	344625	1.0
02/01/2017	835936	344626	1.0
02/01/2017	835919	17769	1.0
02/01/2017	835919	231197	1.0
02/01/2017	835919	236503	1.0
02/01/2017	835919	311677	1.0
02/01/2017	835919	339224	5.0
02/01/2017	835919	364753	1.0
02/01/2017	835912	243063	1.0
02/01/2017	835912	243068	1.0
02/01/2017	835912	243069	1.0
02/01/2017	835912	265242	1.0
02/01/2017	835912	363365	1.0
02/01/2017	835894	278414	1.0
02/01/2017	835894	305795	1.0
02/01/2017	835894	319330	1.0
02/01/2017	835894	341641	1.0
02/01/2017	835892	278414	1.0
02/01/2017	835892	305795	1.0
02/01/2017	835892	319330	1.0
02/01/2017	835892	341641	1.0
02/01/2017	835878	349534	1.0
02/01/2017	835878	349535	1.0
02/01/2017	835878	349537	1.0
02/01/2017	835878	349872	1.0
02/01/2017	835849	273996	1.0
02/01/2017	835849	288127	1.0
02/01/2017	835849	319336	1.0
02/01/2017	835850	215515	1.0
02/01/2017	835850	230954	1.0
02/01/2017	835850	293550	1.0
02/01/2017	835846	230435	1.0
02/01/2017	835846	237298	1.0
02/01/2017	835846	340387	1.0
02/01/2017	835845	340387	1.0
02/01/2017	835845	344619	1.0
02/01/2017	835845	344622	1.0
02/01/2017	835840	344620	1.0
02/01/2017	835840	344624	1.0
02/01/2017	835840	344625	1.0
02/01/2017	835836	344618	1.0
02/01/2017	835836	344619	1.0
02/01/2017	835836	344621	1.0
02/01/2017	835823	273996	1.0
02/01/2017	835823	288127	1.0
02/01/2017	835823	319336	1.0
02/01/2017	835820	342059	2.0
02/01/2017	835820	349520	2.0
02/01/2017	835820	359968	2.0
02/01/2017	835821	215515	2.0
02/01/2017	835821	230954	2.0
02/01/2017	835821	293550	2.0
02/01/2017	835822	273996	1.0
02/01/2017	835822	288127	1.0
02/01/2017	835822	319336	1.0
02/01/2017	835813	342059	1.0
02/01/2017	835813	349520	1.0
02/01/2017	835813	359968	1.0
02/01/2017	835809	273996	1.0
02/01/2017	835809	288127	1.0
02/01/2017	835809	319336	1.0
02/01/2017	835778	255371	1.0
02/01/2017	835778	294281	1.0
02/01/2017	835793	17769	1.0
02/01/2017	835793	348238	1.0
02/01/2017	835769	255371	1.0
02/01/2017	835769	337906	1.0
02/01/2017	835776	236721	1.0
02/01/2017	835776	236735	1.0
02/01/2017	835768	236279	1.0
02/01/2017	835768	363340	1.0
02/01/2017	835766	280157	2.0
02/01/2017	835766	303789	1.0
02/01/2017	835762	236502	1.0
02/01/2017	835762	267258	1.0
02/01/2017	835755	335347	1.0
02/01/2017	835755	339223	1.0
02/01/2017	835754	208483	1.0
02/01/2017	835754	259765	1.0
02/01/2017	835749	337907	1.0
02/01/2017	835749	359789	1.0
02/01/2017	835750	264149	1.0
02/01/2017	835750	340387	1.0
02/01/2017	835746	335349	1.0
02/01/2017	835746	339224	5.0
02/01/2017	835744	321569	1.0
02/01/2017	835744	321585	1.0
02/01/2017	835743	264198	1.0
02/01/2017	835743	347268	1.0
02/01/2017	835735	337907	1.0
06/01/2017	845673	348240	1.0
06/01/2017	845673	349726	1.0
06/01/2017	845669	330137	1.0
06/01/2017	845669	359940	1.0
06/01/2017	845665	278952	1.0
06/01/2017	845658	303789	1.0
06/01/2017	845642	342058	1.0
06/01/2017	845630	335349	1.0
06/01/2017	845627	236721	2.0
06/01/2017	845620	243063	1.0
06/01/2017	845620	243064	1.0
06/01/2017	845620	243069	1.0
06/01/2017	845620	243071	1.0
06/01/2017	845620	243072	1.0
06/01/2017	845620	243075	1.0
06/01/2017	845573	280157	1.0
06/01/2017	845573	335349	1.0
06/01/2017	845569	359788	1.0
06/01/2017	845569	359789	1.0
06/01/2017	845556	322438	1.0
06/01/2017	845560	335347	1.0
06/01/2017	845550	265242	1.0
06/01/2017	845546	294281	1.0
06/01/2017	845541	273997	1.0
06/01/2017	845542	294281	1.0
06/01/2017	845521	322439	1.0
06/01/2017	845532	335347	2.0
06/01/2017	845533	265242	1.0
06/01/2017	845529	322439	1.0
06/01/2017	845517	236503	1.0
06/01/2017	845512	17769	1.0
06/01/2017	845515	280157	2.0
06/01/2017	845504	259765	1.0
06/01/2017	845507	67828	1.0
06/01/2017	845511	280157	1.0
06/01/2017	845509	280157	1.0
06/01/2017	845503	244336	1.0
06/01/2017	845471	273996	1.0
06/01/2017	845471	308519	1.0
06/01/2017	845471	339224	6.0
06/01/2017	845460	350064	1.0
06/01/2017	845460	363337	2.0
06/01/2017	845432	339232	1.0
06/01/2017	845436	17769	1.0
06/01/2017	845388	256901	1.0
06/01/2017	845394	280157	2.0
06/01/2017	845399	206888	1.0
06/01/2017	845404	294281	1.0
06/01/2017	845386	311341	1.0
06/01/2017	845350	255371	1.0
06/01/2017	845350	322438	1.0
06/01/2017	845350	341948	1.0
